X1,X2,X3,X4,X5,Y
495,0.033,372,0,460,51.1
422,0.026,285,11.8,461,51.4
564,0.031,353,11.8,462,60.5
1166,0.052,662,70.4,463,158
823,0.046,517,32.8,464,110
691,0.059,368,37.5,465,83.6
413,0.024,235,0,466,38.6
428,0.024,240,0,467,37.2
894,0.052,550,37.3,468,134
664,0.076,218,46.3,469,76.2
613,0.049,353,32.8,470,82.4
505,0.032,325,38.8,471,60.2
861,0.057,384,43.4,472,80.8
374,0.047,266,0,473,40.4
479,0.055,234,17.1,474,50.7
527,0.025,445,0,475,66.2
569,0.025,499,0,476,72.9
566,0.025,506,0,477,65.6
573,0.025,496,0,478,68.9
508,0.028,414,0,479,58.1
543,0.059,264,32.8,480,70.2
499,0.039,368,0,481,50.4
667,0.041,425,0,482,68.2
495,0.027,395,0,483,58.3
754,0.036,499,0,484,89
416,0.025,334,0,485,42.3
600,0.031,413,38.8,486,73.6
428,0.026,341,0,487,50.1
633,0.036,494,0,488,71.7
861,0.035,358,60.1,489,105
684,0.034,402,11.8,490,72.2
469,0.027,412,0,491,54.3
496,0.024,442,0,492,54.5
497,0.024,428,0,493,54.4
498,0.024,424,0,494,51.1
444,0.025,372,0,495,48.8
470,0.026,370,0,496,56.3
524,0.026,412,0,497,57.7
560,0.026,449,0,498,64.8
621,0.034,459,0,499,73.5
504,0.011,247,5.4,500,35.2
559,0.025,501,0,501,72.8
1010,0.043,714,37.3,502,131
660,0.04,487,0,503,68.9
577,0.034,406,0,504,67.7
555,0.053,238,37.3,505,83.7
424,0.025,334,0,506,46.2
379,0.036,291,0,507,42.1
530,0.037,410,0,508,55.9
606,0.034,453,0,509,72.2
451,0.027,302,11.8,510,53.9
857,0.026,706,0,511,117
486,0.025,408,0,512,55.8
1102,0.046,738,37.3,513,136
1188,0.056,554,86.3,514,154
479,0.037,345,12,515,59.3
1083,0.029,881,0,516,141
1596,0.028,1340,0,517,239
1192,0.05,750,40.5,518,149
509,0.029,385,12.5,519,62.2
813,0.048,630,0,520,90.2
850,0.051,497,45.3,521,118
592,0.035,461,0,522,71.2
618,0.036,442,11.4,523,75.8
598,0.033,375,17.1,524,68.2
1293,0.034,1002,52.6,525,207
755,0.054,530,0,526,87.2
374,0.043,266,0,527,40
630,0.031,505,0,528,73.6
993,0.036,677,26,529,126
779,0.039,512,26,530,96.3
367,0.042,274,0,531,46.3
471,0.025,312,32.1,532,56.8
605,0.031,507,0,533,75
609,0.043,398,0,534,65.1
521,0.026,424,0,535,64.2
485,0.026,379,0,536,56.9
693,0.032,523,12,537,90.9
552,0.025,479,0,538,68.6
766,0.043,492,0,539,102.2
495,0.031,325,38.8,540,56.9
638,0.046,383,0,541,69.4
916,0.038,665,20.2,542,130
1070,0.033,872,0,543,150
745,0.046,310,47.6,544,105
645,0.077,254,40.5,545,88.3
578,0.042,373,0,546,61.9
862,0.043,541,0,547,105
738,0.036,586,0,548,97.4
466,0.026,360,0,549,51.8
472,0.025,367,0,550,52.5
455,0.025,364,0,551,52.3
602,0.031,369,26.3,552,70.5
535,0.025,456,0,553,65.7
544,0.025,446,0,554,65.7
635,0.036,440,20.2,555,85
859,0.036,628,20.2,556,123
708,0.04,451,26.3,557,89.2
584,0.015,288,5.4,558,42.9
574,0.043,304,29.1,559,61.7
804,0.036,528,52.6,560,117
1152,0.029,857,12.5,561,146
993,0.053,551,78.9,562,135
844,0.067,348,63.6,563,118
845,0.056,502,65.5,564,131
1294,0.028,916,26.3,565,164
672,0.029,542,38.8,566,96.3
679,0.057,360,53,567,107
424,0.025,335,0,568,46.2
651,0.028,494,38.8,569,76.3
809,0.05,528,57.8,570,118
648,0.034,448,17.1,571,80.5
668,0.064,247,37.3,572,79.3
747,0.047,434,12.6,573,91.6
626,0.059,347,20.2,574,81.8
584,0.036,454,0,575,57.2
385,0.044,279,0,576,41.3
618,0.03,503,0,577,70.4
1537,0.031,1201,52.6,578,224
640,0.039,502,0,579,104
977,0.026,800,11.8,580,139
1216,0.057,507,161.6,581,161
1412,0.03,1028,52.6,582,192
670,0.042,477,0,583,82.3
629,0.056,310,32.8,584,79.4
1401,0.036,1069,52.6,585,209
544,0.035,425,0,586,67.2
264,0.026,229,0,587,33.6
379,0.029,216,11.8,588,44.7
798,0.039,609,0,589,102
322,0.026,258,0,590,40.2
524,0.06,227,25.3,591,57.4
538,0.066,217,25.3,592,57.4
526,0.065,227,25.3,593,56
615,0.027,493,0,594,71.5
773,0.047,495,45.3,595,107
608,0.04,385,26.3,596,69.1
754,0.044,443,45.3,597,100
757,0.045,461,37.3,598,104
898,0.085,345,57.5,599,121
578,0.024,393,32.1,600,69.6
785,0.09,265,60.7,601,116
615,0.009,263,5.1,602,38.2
689,0.071,370,31.7,603,91
846,0.026,387,5.1,604,68.8
544,0.025,453,0,605,66.3
666,0.052,425,20.2,606,76.5
674,0.052,443,20.2,607,92.5
954,0.039,668,20.2,608,129
564,0.039,291,28.8,609,69.5
508,0.027,411,12.5,610,57.7
513,0.027,417,12.5,611,57.5
587,0.028,371,26.3,612,62.4
486,0.03,406,0,613,57.2
443,0.031,361,0,614,51.3
451,0.03,358,0,615,51.9
1192,0.029,925,0,616,149
612,0.038,444,0,617,72.2
615,0.039,398,0,618,66.6
712,0.057,413,45.3,619,94.8
525,0.024,441,0,620,55.2
461,0.032,367,0,621,51
732,0.045,447,20.2,622,93.9
417,0.027,295,11.8,623,54
554,0.002,234,3.4,624,38.4
637,0.011,266,8.8,625,37.8
690,0,356,5.4,626,41.8
657,0,298,5.1,627,39.3
819,0.008,343,17.6,628,33.1
1175,0.037,929,52.6,629,190
784,0.047,440,57.5,630,113
512,0.053,270,23.5,631,68.4
565,0.055,267,38.6,632,61.7
536,0.025,435,0,633,58.1
847,0.069,346,69.1,634,98.6
689,0,266,10.5,635,34
442,0.031,365,0,636,50.6
604,0.064,250,37.3,637,76
720,0.042,458,20.2,638,94
716,0.042,446,20.2,639,93.9
459,0.026,368,0,640,52.6
424,0.028,282,11.8,641,54.5
687,0.03,579,0,642,90.3
777,0.041,587,20.2,643,115
597,0.047,348,32.8,644,79.4
564,0.035,397,22.9,645,57.8
580,0.025,491,0,646,68.4
440,0.029,355,0,647,50.5
790,0.062,345,46.3,648,96.3
413,0.033,327,0,649,48.2
668,0.03,518,24.1,650,82.4
1323,0.067,606,100.2,651,171
336,0.029,186,11.8,652,38.1
621,0.033,493,0,653,79
1141,0.029,941,0,654,150.3
603,0.043,339,13.1,655,65.5
635,0.046,349,26.3,656,72.7
743,0.024,682,0,657,77.1
641,0.058,297,32.6,658,68.2
578,0.039,300,35.5,659,82.1
710,0.095,265,60.7,660,112
1231,0.032,1034,0,661,174
535,0.048,319,24,662,59.5
644,0.027,464,17.1,663,78.2
648,0.048,368,37.3,664,95.6
595,0.038,356,11.8,665,71.1
556,0.029,454,0,666,65
541,0.042,271,5.4,667,48.2
733,0.062,306,52,668,80.9
509,0.041,322,25.1,669,61.2
1270,0.045,828,37.3,670,162
544,0.086,170,43.1,671,45.1
418,0.024,354,0,672,43.3
1509,0.03,1053,52.6,673,207
1004,0.036,723,37.3,674,125
611,0.038,462,0,675,68.7
570,0.063,281,31.7,676,73.2
578,0.035,398,0,677,66.3
526,0.027,409,0,678,63.5
526,0.027,409,0,679,63.8
527,0.04,346,0,680,59.2
597,0.049,315,12.5,681,62.1
795,0.059,398,48.7,682,109
796,0.09,288,74.6,683,113
325,0.082,130,17.1,684,32.9
647,0.091,221,57.5,685,92.3
588,0.033,302,26.3,686,64.4
658,0.027,464,17.1,687,81.7
502,0.031,405,0,688,57.5
369,0.028,226,0,689,36.7
367,0.042,190,12.5,690,35.7
556,0.08,236,37.3,691,73.2
640,0.082,208,40.5,692,85.2
500,0.051,241,25.1,693,51.4
977,0.066,436,74.6,694,139
857,0.029,637,26.3,695,118
963,0.117,373,121.4,696,199
378,0.021,296,0,697,36.6
867,0.063,410,63.6,698,118
971,0.108,339,107.2,699,166
941,0.109,350,113.7,700,175
347,0.034,272,0,701,40.1
398,0.023,286,0,702,43.5
441,0.035,281,38.8,703,50.7
441,0.031,280,38.8,704,50.4
415,0.037,309,0,705,40.9
565,0.063,254,40.5,706,85.2
1039,0.034,728,37.3,707,125
909,0.04,697,0,708,111.3
858,0.039,620,20.2,709,123
400,0.042,308,0,710,48.1
427,0.042,307,0,711,47.3
523,0.036,365,0,712,61.5
602,0.058,337,20.2,713,82.5
571,0.034,407,0,714,66.7
546,0.037,420,0,715,65.6
1089,0.098,390,111.9,716,173
628,0.051,326,17.1,717,71.1
831,0.03,582,38.8,718,102
454,0.045,268,25.1,719,52.3
563,0.037,424,0,720,66.2
629,0.038,470,0,721,76.9
558,0.039,428,0,722,66.8
607,0.047,390,12.5,723,72.8
347,0.024,249,0,724,39.2
360,0.04,224,12.5,725,39.1
457,0.024,404,0,726,48.5
562,0.026,343,26.3,727,58.2
534,0.032,268,26.3,728,58.6
567,0.031,338,0,729,62.6
763,0.033,358,52.6,730,83.9
558,0.052,315,26.3,731,65.5
489,0.024,324,0,732,56.9
487,0.037,260,12.5,733,50.7
438,0.024,339,0,734,53.9
661,0.026,534,11.8,735,86.6
740,0.028,291,47.6,736,81
617,0.026,470,11.8,737,80.6
1711,0.026,1427,0,738,223.6
908,0.035,571,26.3,739,109
778,0.036,523,26.3,740,101
551,0.045,338,20.2,741,73.5
515,0.036,301,26.3,742,59.1
607,0.059,273,46.5,743,80.1
646,0.035,409,38.8,744,79.9
487,0.028,236,23.8,745,44.9
678,0.072,304,43.1,746,98.7
968,0.071,390,80.7,747,112
926,0.026,683,0,748,108
477,0.038,261,26.3,749,56.2
476,0.032,265,11.8,750,48.4
551,0.032,437,0,751,58.8
1119,0.051,457,139.1,752,147
541,0.065,215,32.8,753,60.8
369,0.038,266,12.5,754,45.7
590,0.03,382,11.8,755,64.1
358,0.026,241,0,756,34.8
377,0.031,250,12.5,757,33.7
387,0.042,319,0,758,37.4
451,0.024,396,0,759,48.1
516,0,282,0,760,36.5
419,0.024,360,0,761,45.3
460,0.024,403,0,762,50.2
349,0.032,286,0,763,35.2
349,0.029,287,0,764,39
395,0.027,322,0,765,42.4
391,0.033,309,0,766,43.7
491,0.029,291,17.1,767,51.3
465,0.024,386,0,768,47.9
780,0.051,429,40.5,769,102
751,0.048,436,40.5,770,102
424,0.024,365,0,771,49.4
504,0.03,331,17.1,772,57.4
517,0.028,325,17.1,773,57.4
463,0.024,386,0,774,52.2
538,0.026,356,17.1,775,59.7
719,0.108,227,60.7,776,109
943,0.085,329,100.6,777,133
924,0.079,358,89.3,778,122
607,0.041,378,32.8,779,78.9
563,0.081,217,40.5,780,82.2
569,0.031,434,12.5,781,72.3
500,0.038,203,26.3,782,45.6
574,0.051,332,20.2,783,75
562,0.057,366,26,784,74.7
624,0.046,434,26,785,85.4
870,0.066,406,55.8,786,87
668,0.038,437,0,787,83.1
679,0.038,424,0,788,83.3
483,0.024,402,0,789,55.3
1040,0.054,719,37.3,790,120.7
497,0.042,282,20.2,791,67.3
577,0.066,254,40.5,792,88.2
985,0.052,403,25.3,793,117
458,0.024,408,0,794,55.7
604,0.032,410,26.3,795,65.7
548,0.036,437,0,796,60.9
654,0.059,336,20.2,797,83.8
950,0.058,679,0,798,115
518,0.046,261,29.6,799,56.6
784,0.042,528,45.3,800,102
652,0.061,338,20.2,801,83.5
439,0.024,373,0,802,52.8
589,0.046,331,20.2,803,74.3
514,0.029,327,17.1,804,60.7
539,0.036,310,26.3,805,63.8
467,0.024,415,0,806,55.4
497,0.025,407,0,807,59.5
609,0.027,421,17.1,808,73.4
475,0.025,411,0,809,59.4
608,0.031,393,26.3,810,75.3
291,0.037,244,0,811,39.1
342,0.045,232,0,812,37.5
1377,0.034,1152,31.7,813,199
419,0.024,375,0,814,45.8
458,0.025,373,0,815,48.4
468,0.024,409,0,816,52.4
513,0.037,297,17.1,817,54.9
572,0.025,499,0,818,72.8
581,0.037,352,0,819,61.5
700,0.028,478,26.3,820,89.1
437,0.025,380,0,821,53.1
512,0.032,331,17.1,822,60.9
512,0.042,293,26.3,823,60.1
376,0.045,288,0,824,38.8
483,0.024,411,0,825,56
481,0.025,411,0,826,59.6
401,0.033,325,0,827,47.6
422,0.041,319,0,828,45
449,0.039,320,0,829,47.5
429,0.043,322,0,830,46.2
465,0.032,370,0,831,54.2
